OA08108140900695|OA|JRRCEX-2014-00046|80063306340|鹤山市宏塑胶粘制品实业有限公司|USD|96000.0|5.0|20140919|20150114|0.0|1560.0|
OA08108140900706|OA|JRRCEX-2014-00048|80056935124|江门市全富电器有限公司|USD|191000.0|5.0|20140922|20150217|0.0|3607.78|
IP08108140900717|IP|JRRCIM-2014-00033|80041963555|江门市南洋船舶工程有限公司|USD|39000.0|4.5|20140926|20150324|0.0|872.63|
OA08108140900723|OA|JRRCEX-2014-00041|80065310802|江门全合精密电子有限公司|USD|45933.0|5.0|20140928|20141115|0.0|274.32|
EP08108140900731|EP|JRRCFPGY201400059|80053795178|江门市振业水产有限公司|USD|130000.0|4.5|20140929|20141128|0.0|446.96|
EP08108140900735|EP|JRRCFPGY201400060|80053795178|江门市振业水产有限公司|USD|435000.0|4.5|20140930|20141128|0.0|1518.88|
EP08108140900661|EP|JRRCEX-2014-00033|80042221260|江门市铠源进出口有限公司|USD|1200000.0|4.5|20140911|20141110|0.0|1800.0|
EP08108140900672|EP|JRRCIM-2014-00024|80054662984|江门市高宏贸易有限公司|USD|300000.0|4.0|20140912|20141211|0.0|2700.0|
IP08108140900671|IP|JRRCIM-2014-00029|80041963555|江门市南洋船舶工程有限公司|USD|30000.0|4.5|20140912|20150311|0.0|675.0|
OA08108140900693|OA|JRRCEX-2014-00045|80063306340|鹤山市宏塑胶粘制品实业有限公司|USD|215000.0|5.0|20140919|20150104|0.0|2597.92|
EP08108140900702|EP|JRRCFPGY201400049|80053795178|江门市振业水产有限公司|USD|250000.0|4.5|20140919|20141118|0.0|1104.52|
OA08108140900708|OA|JRRCEX-2014-00051|80063306340|鹤山市宏塑胶粘制品实业有限公司|USD|71000.0|5.0|20140923|20150116|0.0|1134.03|
IP08108140900716|IP|JRRCIM-2014-00034|80041963555|江门市南洋船舶工程有限公司|USD|18850.0|4.5|20140926|20150324|0.0|421.77|
OA08108140900721|OA|JRRCEX-2014-00040|80065310802|江门全合精密电子有限公司|USD|63706.0|5.0|20140928|20141022|0.0|150.42|
OA08108140900733|OA|JRRCEX-2014-00057|80063306340|鹤山市宏塑胶粘制品实业有限公司|USD|238000.0|5.0|20140929|20150212|0.0|4297.22|
ED08108140900736|ED|JRRCEX-2014-00053|80042221260|江门市铠源进出口有限公司|USD|118800.0|4.5|20140930|20150128|0.0|1782.0|
OA08108141000755|OA|JRRCEX-2014-00064|80063306340|鹤山市宏塑胶粘制品实业有限公司|USD|245000.0|5.0|20141011|20150212|0.0|4117.36|
IP08108141000759|IP|JRRCIM-2014-00041|80041963555|江门市南洋船舶工程有限公司|USD|14000.0|4.5|20141014|20150410|0.0|311.5|
EP08108140900686|EP|JRRCFPGY201400044|80053795178|江门市振业水产有限公司|USD|140000.0|4.5|20140918|20141117|0.0|853.56|
OA08108140900697|OA|JRRCEX-2014-00047|80063306340|鹤山市宏塑胶粘制品实业有限公司|USD|119000.0|5.0|20140919|20141230|0.0|1454.44|
OA08108140900709|OA|JRRCEX-2014-00050|80063306340|鹤山市宏塑胶粘制品实业有限公司|USD|240000.0|5.0|20140923|20150130|0.0|4266.67|
IP08108140900715|IP|JRRCIM-2014-00035|80041963555|江门市南洋船舶工程有限公司|USD|55000.0|4.5|20140926|20150324|0.0|1230.63|
OA08108140900722|OA|JRRCEX-2014-00054|80063306340|鹤山市宏塑胶粘制品实业有限公司|USD|135000.0|5.0|20140928|20150122|0.0|2175.0|
OA08108140900726|OA|JRRCEX-2014-00043|80065310802|江门全合精密电子有限公司|USD|95479.0|5.0|20140928|20141219|0.0|1087.4|
IP08108140900730|IP|JRRCIM-2014-00037|80041963555|江门市南洋船舶工程有限公司|USD|86800.0|4.5|20140929|20150327|0.0|1942.15|
OA08108140900732|OA|JRRCEX-2014-00055|80063306340|鹤山市宏塑胶粘制品实业有限公司|USD|69000.0|5.0|20140929|20150109|0.0|967.92|
EP08108141000741|EP|JRRCIM-2014-00038|80054662984|江门市高宏贸易有限公司|USD|300000.0|4.0|20141008|20150106|0.0|2633.33|
IP08108140900667|IP|JRRCIM-2014-00028|80041963555|江门市南洋船舶工程有限公司|USD|48000.0|4.5|20140912|20150311|0.0|1080.0|
IP08108140900669|IP|JRRCIM-2014-00030|80041963555|江门市南洋船舶工程有限公司|USD|75000.0|4.5|20140912|20150311|0.0|1687.5|
EP08108140900688|EP|JRRCEX-2014-00039|80042221260|江门市铠源进出口有限公司|USD|1200000.0|4.5|20140918|20141117|0.0|3000.0|
EP08108140900699|EP|JRRCIM-2014-00032|80054662984|江门市高宏贸易有限公司|USD|342000.0|4.0|20140919|20141218|0.0|3222.67|
